Category,Example,Additional,Additional 2
Pop divas,Beyoncé,TRUE,
Pop divas,Lady Gaga,TRUE,
Pop divas,Ariana Grande,TRUE,
Pop divas,Taylor Swift,TRUE,
Pop divas,Rihanna,TRUE,
Pop divas,Katy Perry,TRUE,
Pop divas,Mariah Carey,TRUE,
Pop divas,Whitney Houston,TRUE,
Pop divas,Madonna,TRUE,
Pop divas,Britney Spears,TRUE,
Pop divas,Christina Aguilera,TRUE,
Pop divas,Jennifer Lopez,TRUE,
Pop divas,Shakira,TRUE,
Pop divas,Dua Lipa,TRUE,
Pop divas,Doja Cat,TRUE,
Pop divas,Selena Gomez,TRUE,
Pop divas,Demi Lovato,TRUE,
Pop divas,Sia,TRUE,
Pop divas,Adele,TRUE,
Pop divas,Kesha,TRUE,
Pop divas,Lizzo,TRUE,
Pop divas,Nicki Minaj,TRUE,
Pop divas,Céline Dion,TRUE,
Pop divas,Billie Eilish,TRUE,
Pop divas,Miley Cyrus,TRUE,
Pop divas,Pink,TRUE,
Pop divas,Fergie,TRUE,
Pop divas,Normani,TRUE,
Pop divas,Charli XCX,TRUE,
Pop divas,Kylie Minogue,TRUE,
Pop divas,Camila Cabello,TRUE,
Pop divas,Avril Lavigne,TRUE,
Pop divas,Ashanti,TRUE,
Pop divas,Ellie Goulding,TRUE,
Pop divas,Alicia Keys,TRUE,
Pop divas,Tove Lo,TRUE,
Pop divas,Grimes,TRUE,
Pop divas,Tinashe,TRUE,
Pop divas,Chlöe Bailey,TRUE,
Pop divas,Halsey,TRUE,
Pop divas,Olivia Rodrigo,TRUE,
Pop divas,Rosalía,TRUE,
Pop divas,Florence Welch,TRUE,
Pop divas,Janet Jackson,TRUE,
Pop divas,Janelle Monáe,TRUE,
Pop divas,Hayley Williams,TRUE,
Pop divas,Jessie J,TRUE,
Pop divas,Bonnie Tyler,TRUE,
Pop divas,Chappell Roan,TRUE,
Chicago tourist stuff,Willis Tower Skydeck,FALSE,
Chicago tourist stuff,Cloud Gate (The Bean),FALSE,
Chicago tourist stuff,Navy Pier,FALSE,
Chicago tourist stuff,Millennium Park,FALSE,
Chicago tourist stuff,Chicago Riverwalk,FALSE,
Chicago tourist stuff,Architectural Boat Tour,FALSE,
Chicago tourist stuff,Shedd Aquarium,FALSE,
Chicago tourist stuff,Field Museum,FALSE,
Chicago tourist stuff,Adler Planetarium,FALSE,
Chicago tourist stuff,Art Institute of Chicago,FALSE,
Chicago tourist stuff,Lincoln Park Zoo,FALSE,
Chicago tourist stuff,Maggie Daley Park,FALSE,
Chicago tourist stuff,Wrigley Field,FALSE,
Chicago tourist stuff,Soldier Field,FALSE,
Chicago tourist stuff,Garfield Park Conservatory,FALSE,
Chicago tourist stuff,Chicago Theatre,FALSE,
Chicago tourist stuff,Grant Park,FALSE,
Chicago tourist stuff,360 Chicago,FALSE,
Chicago tourist stuff,Museum of Science and Industry,FALSE,
Chicago tourist stuff,Chicago Cultural Center,FALSE,
Chicago tourist stuff,The Magnificent Mile,FALSE,
Chicago tourist stuff,Chicago Water Tower,FALSE,
Chicago tourist stuff,Chicago History Museum,FALSE,
Chicago tourist stuff,Promontory Point,FALSE,
Chicago tourist stuff,Ferris wheel at Navy Pier,FALSE,
Chicago tourist stuff,ChinaTown Square,FALSE,
Chicago tourist stuff,Billy Goat Tavern,FALSE,
Chicago tourist stuff,Portillo’s,FALSE,
Chicago tourist stuff,Gino’s East,FALSE,
Chicago tourist stuff,Garrett Popcorn,FALSE,
Chicago tourist stuff,Divvy bikes,FALSE,
Chicago tourist stuff,Metra Electric line,FALSE,
Chicago tourist stuff,Second City,FALSE,
Chicago tourist stuff,Blue Man Group,FALSE,
Chicago tourist stuff,The Green Mill,FALSE,
Chicago tourist stuff,Chicago Botanic Garden,FALSE,
Chicago tourist stuff,Brookfield Zoo,FALSE,
Chicago tourist stuff,Calder’s Flamingo,FALSE,
Chicago tourist stuff,Chicago Lakefront Trail,FALSE,
Chicago tourist stuff,The 606 Trail,FALSE,
Chicago tourist stuff,Buckingham Fountain,FALSE,
Chicago tourist stuff,Shakespeare Theater Navy Pier,FALSE,
Comedians,Jerry Seinfeld,,
Comedians,Ellen DeGeneres,,
Comedians,Jim Gaffigan,,
Comedians,Brian Regan,,
Comedians,Nate Bargatze,,
Comedians,John Mulaney,,
Comedians,Hasan Minhaj,,
Comedians,Ali Wong,,
Comedians,Tig Notaro,,
Comedians,Mike Birbiglia,,
Comedians,Iliza Shlesinger,,
Comedians,Bo Burnham,,
Comedians,Taylor Tomlinson,,
Comedians,Kevin Hart,,
Comedians,Trevor Noah,,
Comedians,Wanda Sykes,,
Comedians,Chris Rock,,
Comedians,Dave Chappelle,,
Comedians,Steve Martin,,
Comedians,Martin Short,,
Comedians,Amy Poehler,,
Comedians,Tina Fey,,
Comedians,Seth Meyers,,
Comedians,Conan O'Brien,,
Comedians,Stephen Colbert,,
Comedians,Jimmy Fallon,,
Comedians,Jimmy Kimmel,,
Comedians,Jay Leno,,
Comedians,Brian Posehn,,
Comedians,Patton Oswalt,,
Comedians,Maria Bamford,,
Comedians,Demetri Martin,,
Comedians,Russell Peters,,
Comedians,Gabriel Iglesias,,
Comedians,Ronny Chieng,,
Comedians,Jordan Peele,,
Comedians,Keegan-Michael Key,,
Comedians,Fred Armisen,,
Comedians,Bill Hader,,
Comedians,Kristen Wiig,,
Comedians,Melissa McCarthy,,
Comedians,Kenan Thompson,,
Comedians,Kate McKinnon,,
Comedians,Bowen Yang,,
Comedians,John Oliver,,
Comedians,Phoebe Robinson,,
Comedians,Nicole Byer,,
Comedians,Fortune Feimster,,
Comedians,Katherine Ryan,,
Comedians,Marc Maron,,
Comedians,Reggie Watts,,
Kitchen gadgets,Spatula,TRUE,
Kitchen gadgets,Whisk,TRUE,
Kitchen gadgets,Tongs,TRUE,
Kitchen gadgets,Measuring cups,TRUE,
Kitchen gadgets,Measuring spoons,TRUE,
Kitchen gadgets,Cheese grater,TRUE,
Kitchen gadgets,Potato peeler,TRUE,
Kitchen gadgets,Can opener,TRUE,
Kitchen gadgets,Bottle opener,TRUE,
Kitchen gadgets,Colander,TRUE,
Kitchen gadgets,Cutting board,TRUE,
Kitchen gadgets,Pastry brush,TRUE,
Kitchen gadgets,Garlic press,TRUE,
Kitchen gadgets,Kitchen shears,TRUE,
Kitchen gadgets,Pizza cutter,TRUE,
Kitchen gadgets,Mandoline slicer,TRUE,
Kitchen gadgets,Immersion blender,TRUE,
Kitchen gadgets,Food processor,TRUE,
Kitchen gadgets,Stand mixer,TRUE,
Kitchen gadgets,Hand mixer,TRUE,
Kitchen gadgets,Slow cooker,TRUE,
Kitchen gadgets,Pressure cooker,TRUE,
Kitchen gadgets,Air fryer,TRUE,
Kitchen gadgets,Toaster oven,TRUE,
Kitchen gadgets,Microwave,TRUE,
Kitchen gadgets,Digital thermometer,TRUE,
Kitchen gadgets,Oven mitts,TRUE,
Kitchen gadgets,Baking sheet,TRUE,
Kitchen gadgets,Muffin tin,TRUE,
Kitchen gadgets,Rolling pin,TRUE,
Kitchen gadgets,Mortar and pestle,TRUE,
Kitchen gadgets,Spice grinder,TRUE,
Kitchen gadgets,Juicer,TRUE,
Kitchen gadgets,Citrus zester,TRUE,
Kitchen gadgets,Funnel,TRUE,
Kitchen gadgets,French press,TRUE,
Kitchen gadgets,Coffee grinder,TRUE,
Kitchen gadgets,Cast iron pan,TRUE,
Kitchen gadgets,Meat tenderizer,TRUE,
Kitchen gadgets,Splatter screen,TRUE,
Kitchen gadgets,Strainer,TRUE,
Kitchen gadgets,Rice cooker,TRUE,
Kitchen gadgets,Blender,TRUE,
Kitchen gadgets,Egg separator,TRUE,
Kitchen gadgets,Salad spinner,TRUE,
Kitchen gadgets,Ice cream scoop,TRUE,
Kitchen gadgets,Kitchen scale,TRUE,
Junk drawer,Rubber bands,FALSE,
Junk drawer,Scissors,FALSE,
Junk drawer,Old batteries,FALSE,
Junk drawer,Loose change,FALSE,
Junk drawer,Pens,FALSE,
Junk drawer,Pencils,FALSE,
Junk drawer,Post-it notes,FALSE,
Junk drawer,Thumbtacks,FALSE,
Junk drawer,Paper clips,FALSE,
Junk drawer,Dried-out markers,FALSE,
Junk drawer,Broken phone chargers,FALSE,
Junk drawer,USB cables,FALSE,
Junk drawer,Random keys,FALSE,
Junk drawer,Binder clips,FALSE,
Junk drawer,Safety pins,FALSE,
Junk drawer,Glue sticks,FALSE,
Junk drawer,Duct tape,FALSE,
Junk drawer,Spare buttons,FALSE,
Junk drawer,Twine,FALSE,
Junk drawer,Small flashlight,FALSE,
Junk drawer,Matches,FALSE,
Junk drawer,Lighters,FALSE,
Junk drawer,Screwdriver,FALSE,
Junk drawer,Allen wrenches,FALSE,
Junk drawer,Sticky tack,FALSE,
Junk drawer,Old gift cards,FALSE,
Junk drawer,Candles,FALSE,
Junk drawer,Rubber gloves,FALSE,
Junk drawer,Felt pads,FALSE,
Junk drawer,Coin purse,FALSE,
Junk drawer,Old receipts,FALSE,
Junk drawer,Expired coupons,FALSE,
Junk drawer,Clothespins,FALSE,
Junk drawer,Twist ties,FALSE,
Junk drawer,Plastic utensils,FALSE,
Junk drawer,Loose screws,FALSE,
Junk drawer,Spare fuses,FALSE,
Junk drawer,Old sunglasses,FALSE,
Junk drawer,Chip clips,FALSE,
Junk drawer,Swiss army knife,FALSE,
Junk drawer,Flash drives,FALSE,
Junk drawer,Playing cards,FALSE,
Junk drawer,Bottle opener,FALSE,
Junk drawer,Old magnets,FALSE,
Junk drawer,Keychains,FALSE,
Junk drawer,Notepad,FALSE,
Junk drawer,Coasters,FALSE,
Laundry,Laundry detergent,FALSE,
Laundry,Fabric softener,FALSE,
Laundry,Dryer sheets,FALSE,
Laundry,Delicates bag,FALSE,
Laundry,Laundry basket,FALSE,
Laundry,Folded towels,FALSE,
Laundry,Clothesline,FALSE,
Laundry,Clothespins,FALSE,
Laundry,Washing machine,FALSE,
Laundry,Dryer,FALSE,
Laundry,Iron,FALSE,
Laundry,Ironing board,FALSE,
Laundry,Wrinkle releaser spray,FALSE,
Laundry,Bleach,FALSE,
Laundry,Color catcher sheets,FALSE,
Laundry,Wool dryer balls,FALSE,
Laundry,Dry cleaning bag,FALSE,
Laundry,Lint roller,FALSE,
Laundry,Lint trap,FALSE,
Laundry,Mesh laundry bag,FALSE,
Laundry,Soaking basin,FALSE,
Laundry,Detergent pods,FALSE,
Laundry,Hand-wash soap,FALSE,
Laundry,Drying rack,FALSE,
Laundry,Steamer,FALSE,
Laundry,Clothing hangers,FALSE,
Laundry,Scent boosters,FALSE,
Laundry,Laundry marker,FALSE,
Laundry,Clothes brush,FALSE,
Laundry,Spot remover pen,FALSE,
Laundry,Laundry scoop,FALSE,
Laundry,Folding board,FALSE,
Laundry,Static guard,FALSE,
Laundry,Laundry timer,FALSE,
Laundry,Clothing repair kit,FALSE,
Laundry,Spare buttons,FALSE,
Laundry,Detergent measuring cup,FALSE,
Laundry,Terry cloth rags,FALSE,
Laundry,Clothing clips,FALSE,
Board games,Monopoly,TRUE,
Board games,Scrabble,TRUE,
Board games,Clue,TRUE,
Board games,Operation,TRUE,
Board games,Candy Land,TRUE,
Board games,Risk,TRUE,
Board games,The Game of Life,TRUE,
Board games,Trivial Pursuit,TRUE,
Board games,Pictionary,TRUE,
Board games,Scattergories,TRUE,
Board games,Catan,TRUE,
Board games,Carcassonne,TRUE,
Board games,Ticket to Ride,TRUE,
Board games,Pandemic,TRUE,
Board games,7 Wonders,TRUE,
Board games,Chess,TRUE,
Board games,Secret Hitler,TRUE,
Board games,Backgammon,TRUE,
Board games,Stratego,TRUE,
Board games,Battleship,TRUE,
Board games,Guess Who?,TRUE,
Board games,Connect Four,TRUE,
Board games,Taboo,TRUE,
Board games,Apples to Apples,TRUE,
Board games,Cards Against Humanity,TRUE,
Board games,Gloomhaven,TRUE,
Board games,Azul,TRUE,
Board games,Five Tribes,TRUE,
Board games,Spirit Island,TRUE,
Board games,Forbidden Island,TRUE,
Board games,Villainous,TRUE,
Board games,Arkham Horror,TRUE,
Board games,Hues and Clues,TRUE,
Board games,Wingspan,TRUE,
Board games,Wavelength,TRUE,
Board games,Fluxx,TRUE,
Board games,Chutes and Ladders,TRUE,
Board games,Labyrinth,TRUE,
Board games,Blokus,TRUE,
Board games,Othello,TRUE,
Board games,Hungry Hungry Hippos,TRUE,
Board games,Aggravation,TRUE,
Board games,Mouse Trap,TRUE,
Board games,Bananagrams,TRUE,
Board games,Yahtzee,TRUE,
Board games,Trouble,TRUE,
Board games,Sorry!,TRUE,
Board games,Shadows Over Camelot,TRUE,
Board games,Dominion,TRUE,
Board games,Decrypto,TRUE,
Pokemon,Bulbasaur,TRUE,
Pokemon,Ivysaur,TRUE,
Pokemon,Venusaur,TRUE,
Pokemon,Charmander,TRUE,
Pokemon,Charmeleon,TRUE,
Pokemon,Charizard,TRUE,
Pokemon,Squirtle,TRUE,
Pokemon,Wartortle,TRUE,
Pokemon,Blastoise,TRUE,
Pokemon,Caterpie,TRUE,
Pokemon,Weedle,TRUE,
Pokemon,Pidgey,TRUE,
Pokemon,Rattata,TRUE,
Pokemon,Pikachu,TRUE,
Pokemon,Raichu,TRUE,
Pokemon,Sandshrew,TRUE,
Pokemon,Clefairy,TRUE,
Pokemon,Vulpix,TRUE,
Pokemon,Jigglypuff,TRUE,
Pokemon,Zubat,TRUE,
Pokemon,Oddish,TRUE,
Pokemon,Paras,TRUE,
Pokemon,Geodude,TRUE,
Pokemon,Ponyta,TRUE,
Pokemon,Slowpoke,TRUE,
Pokemon,Magnemite,TRUE,
Pokemon,Doduo,TRUE,
Pokemon,Grimer,TRUE,
Pokemon,Shellder,TRUE,
Pokemon,Onix,TRUE,
Pokemon,Gastly,TRUE,
Pokemon,Drowzee,TRUE,
Pokemon,Krabby,TRUE,
Pokemon,Voltorb,TRUE,
Pokemon,Exeggcute,TRUE,
Pokemon,Koffing,TRUE,
Pokemon,Rhyhorn,TRUE,
Pokemon,Horsea,TRUE,
Pokemon,Goldeen,TRUE,
Pokemon,Staryu,TRUE,
Pokemon,Magikarp,TRUE,
Pokemon,Eevee,TRUE,
Pokemon,Vaporeon,TRUE,
Pokemon,Jolteon,TRUE,
Pokemon,Flareon,TRUE,
Pokemon,Dratini,TRUE,
Pokemon,Dragonair,TRUE,
Pokemon,Dragonite,TRUE,
Pokemon,Mewtwo,TRUE,
Pokemon,Mew,TRUE,
Broadway shows,Hamilton,TRUE,
Broadway shows,Wicked,TRUE,
Broadway shows,The Lion King,TRUE,
Broadway shows,Chicago,FALSE,
Broadway shows,Rent,TRUE,
Broadway shows,Into the Woods,TRUE,
Broadway shows,West Side Story,FALSE,
Broadway shows,Les Misérables,TRUE,
Broadway shows,The Phantom of the Opera,TRUE,
Broadway shows,Dear Evan Hansen,TRUE,
Broadway shows,The Book of Mormon,TRUE,
Broadway shows,Mean Girls,TRUE,
Broadway shows,Heathers,TRUE,
Broadway shows,Beetlejuice,TRUE,
Broadway shows,Hairspray,TRUE,
Broadway shows,"Hello, Dolly!",TRUE,
Broadway shows,Oklahoma!,TRUE,
Broadway shows,Cats,TRUE,
Broadway shows,Company,TRUE,
Broadway shows,Waitress,TRUE,
Broadway shows,Hadestown,TRUE,
Broadway shows,Six,TRUE,
Broadway shows,Aladdin,TRUE,
Broadway shows,Frozen,TRUE,
Broadway shows,Anastasia,TRUE,
Broadway shows,Shrek: The Musical,TRUE,
Broadway shows,A Chorus Line,TRUE,
Broadway shows,Evita,TRUE,
Broadway shows,Jesus Christ Superstar,TRUE,
Broadway shows,Joseph and the Amazing Technicolor Dreamcoat,TRUE,
Broadway shows,The Sound of Music,TRUE,
Broadway shows,My Fair Lady,TRUE,
Broadway shows,Fiddler on the Roof,TRUE,
Broadway shows,Sweeney Todd,TRUE,
Broadway shows,Avenue Q,TRUE,
Broadway shows,Spamalot,TRUE,
Broadway shows,Oliver!,TRUE,
Broadway shows,Beauty and the Beast,TRUE,
Broadway shows,Moulin Rouge!,TRUE,
Broadway shows,Once,TRUE,
Broadway shows,The Color Purple,TRUE,
Broadway shows,Parade,TRUE,
Broadway shows,Spring Awakening,TRUE,
Broadway shows,Fun Home,TRUE,
Broadway shows,Next to Normal,TRUE,
Broadway shows,Legally Blonde,TRUE,
Broadway shows,Matilda,TRUE,
Broadway shows,Jersey Boys,TRUE,
Broadway shows,Kinky Boots,FALSE,
Spirit Halloween Catalogue,Angel,FALSE,
Spirit Halloween Catalogue,Astronaut,FALSE,
Spirit Halloween Catalogue,Banana suit,FALSE,
Spirit Halloween Catalogue,Barbie,FALSE,
Spirit Halloween Catalogue,Batman,FALSE,
Spirit Halloween Catalogue,Beetlejuice,FALSE,
Spirit Halloween Catalogue,Cat costume,FALSE,
Spirit Halloween Catalogue,Cheerleader,FALSE,
Spirit Halloween Catalogue,Chucky,FALSE,
Spirit Halloween Catalogue,Clown,FALSE,
Spirit Halloween Catalogue,Cowboy,FALSE,
Spirit Halloween Catalogue,Darth Vader,FALSE,
Spirit Halloween Catalogue,Devil,FALSE,
Spirit Halloween Catalogue,Doctor,FALSE,
Spirit Halloween Catalogue,Dog costume,FALSE,
Spirit Halloween Catalogue,Fairy,FALSE,
Spirit Halloween Catalogue,Firefighter,FALSE,
Spirit Halloween Catalogue,Football player,FALSE,
Spirit Halloween Catalogue,Freddy Krueger,FALSE,
Spirit Halloween Catalogue,Ghost,FALSE,
Spirit Halloween Catalogue,Ghostface,FALSE,
Spirit Halloween Catalogue,Grim Reaper,FALSE,
Spirit Halloween Catalogue,Harley Quinn,FALSE,
Spirit Halloween Catalogue,Hot dog suit,FALSE,
Spirit Halloween Catalogue,Inflatable dinosaur,FALSE,
Spirit Halloween Catalogue,Jason Voorhees,FALSE,
Spirit Halloween Catalogue,Joker,FALSE,
Spirit Halloween Catalogue,Ken,FALSE,
Spirit Halloween Catalogue,Mad scientist,FALSE,
Spirit Halloween Catalogue,Mario,FALSE,
Spirit Halloween Catalogue,Mermaid,FALSE,
Spirit Halloween Catalogue,Michael Myers,FALSE,
Spirit Halloween Catalogue,Minion,FALSE,
Spirit Halloween Catalogue,Mummy,FALSE,
Spirit Halloween Catalogue,Nurse,FALSE,
Spirit Halloween Catalogue,Pennywise,FALSE,
Spirit Halloween Catalogue,Pirate,FALSE,
Spirit Halloween Catalogue,Police officer,FALSE,
Spirit Halloween Catalogue,Pumpkin costume,FALSE,
Spirit Halloween Catalogue,Skeleton,FALSE,
Spirit Halloween Catalogue,Spider-Man,FALSE,
Spirit Halloween Catalogue,Stormtrooper,FALSE,
Spirit Halloween Catalogue,Supergirl,FALSE,
Spirit Halloween Catalogue,Vampire,FALSE,
Spirit Halloween Catalogue,Wednesday Addams,FALSE,
Spirit Halloween Catalogue,Werewolf,FALSE,
Spirit Halloween Catalogue,Witch,FALSE,
Spirit Halloween Catalogue,Wonder Woman,FALSE,
Spirit Halloween Catalogue,Zombie,FALSE,
Reality tv shows,Survivor,,
Reality tv shows,Big Brother,,
Reality tv shows,The Bachelor,,
Reality tv shows,The Bachelorette,,
Reality tv shows,Keeping Up with the Kardashians,,
Reality tv shows,The Real Housewives of Beverly Hills,,
Reality tv shows,The Real Housewives of New York City,,
Reality tv shows,RuPaul's Drag Race,,
Reality tv shows,The Amazing Race,,
Reality tv shows,American Idol,,
Reality tv shows,The Voice,,
Reality tv shows,Top Chef,,
Reality tv shows,MasterChef,,
Reality tv shows,Hell's Kitchen,,
Reality tv shows,The Great British Bake Off,,
Reality tv shows,Love Island,,
Reality tv shows,The Circle,,
Reality tv shows,Too Hot to Handle,,
Reality tv shows,Queer Eye,,
Reality tv shows,The Real World,,
Reality tv shows,Married at First Sight,,
Reality tv shows,Jersey Shore,,
Reality tv shows,Shark Tank,,
Reality tv shows,Project Runway,,
Reality tv shows,Dance Moms,,
Reality tv shows,So You Think You Can Dance,,
Reality tv shows,America's Next Top Model,,
Reality tv shows,Ink Master,,
Reality tv shows,Deadliest Catch,,
Reality tv shows,Pawn Stars,,
Reality tv shows,Storage Wars,,
Reality tv shows,The Simple Life,,
Reality tv shows,The Osbournes,,
Reality tv shows,The Hills,,
Reality tv shows,Laguna Beach,,
Reality tv shows,My Super Sweet 16,,
Reality tv shows,Catfish,,
Reality tv shows,Undercover Boss,,
Reality tv shows,Kitchen Nightmares,,
Reality tv shows,Love Is Blind,,
Reality tv shows,Below Deck,,
Reality tv shows,Vanderpump Rules,,
Reality tv shows,Fear Factor,,
Reality tv shows,Wife Swap,,
Reality tv shows,Bar Rescue,,
Reality tv shows,Dancing with the Stars,,
Fair Foods,Corn Dog,FALSE,
Fair Foods,Funnel Cake,FALSE,
Fair Foods,Fried Oreos,FALSE,
Fair Foods,Turkey Leg,FALSE,
Fair Foods,Cotton Candy,FALSE,
Fair Foods,Lemonade Shake-Up,FALSE,
Fair Foods,Fried Pickles,FALSE,
Fair Foods,Curly Fries,FALSE,
Fair Foods,Caramel Apples,FALSE,
Fair Foods,Fried Twinkies,FALSE,
Fair Foods,Elephant Ear,FALSE,
Fair Foods,Giant Pretzel,FALSE,
Fair Foods,Fried Cheese Curds,FALSE,
Fair Foods,Churros,FALSE,
Fair Foods,Sausage On a Stick,FALSE,
Fair Foods,Fried Cookie Dough,FALSE,
Fair Foods,Soft Serve Ice Cream,FALSE,
Fair Foods,Kettle Corn,FALSE,
Fair Foods,Italian Sausage Sandwich,FALSE,
Fair Foods,Fried Mac and Cheese,FALSE,
Fair Foods,Smoked Brisket Sandwich,FALSE,
Fair Foods,Fried PB&J,FALSE,
Fair Foods,Snow Cone,FALSE,
Fair Foods,Fried Avocado,FALSE,
Fair Foods,Corn on the Cob,FALSE,
Fair Foods,Deep-Fried Brownie,FALSE,
Fair Foods,Fried Banana,FALSE,
Fair Foods,Loaded Nachos,FALSE,
Fair Foods,Fried Green Tomatoes,FALSE,
Fair Foods,Popcorn,FALSE,
Fair Foods,Walking Taco,FALSE,
Fair Foods,Fried Coconut Shrimp,FALSE,
Fair Foods,Blooming Onion,FALSE,
Fair Foods,Fried Ice Cream,FALSE,
Fair Foods,Fried Snickers,FALSE,
Fair Foods,Chocolate-Dipped Bacon,FALSE,
Fair Foods,Pretzel Bites,FALSE,
Fair Foods,Gyro,FALSE,
Fair Foods,Mini Donuts,FALSE,
Fair Foods,Baked Potato,FALSE,
Fair Foods,Fried Jalapeño Slices,FALSE,
Fair Foods,Pickle on a Stick,FALSE,
Fair Foods,Deep-Fried Pie,FALSE,
Fair Foods,Waffle Stick,FALSE,
Fair Foods,Fried Mushrooms,FALSE,
Fair Foods,Buffalo Wings,FALSE,
Fair Foods,Mozzarella Sticks,FALSE,
Apps,Facebook,TRUE,
Apps,Instagram,TRUE,
Apps,Twitter,TRUE,
Apps,TikTok,TRUE,
Apps,Snapchat,TRUE,
Apps,YouTube,TRUE,
Apps,Spotify,TRUE,
Apps,Netflix,TRUE,
Apps,United Airlines,TRUE,
Apps,Disney+,TRUE,
Apps,Amazon,TRUE,
Apps,Uber,TRUE,
Apps,Southwest,TRUE,
Apps,Doordash,TRUE,
Apps,Grubhub,TRUE,
Apps,Venmo,TRUE,
Apps,Cash App,TRUE,
Apps,PayPal,TRUE,
Apps,LinkedIn,TRUE,
Apps,Reddit,TRUE,
Apps,Pinterest,TRUE,
Apps,Partiful,TRUE,
Apps,WhatsApp,TRUE,
Apps,Messenger,TRUE,
Apps,Gmail,TRUE,
Apps,Google Maps,TRUE,
Apps,Apple Maps,TRUE,
Apps,Zoom,TRUE,
Apps,Microsoft Teams,TRUE,
Apps,Slack,TRUE,
Apps,Notion,TRUE,
Apps,Trello,TRUE,
Apps,Twitch,TRUE,
Apps,Discord,TRUE,
Apps,Kindle,TRUE,
Apps,Shazam,TRUE,
Apps,Roku,TRUE,
Apps,Prime Video,TRUE,
Apps,Pandora,TRUE,
Apps,Telegram,TRUE,
Apps,WeChat,TRUE,
Apps,Signal,TRUE,
Apps,Robinhood,TRUE,
Apps,Fidelity,TRUE,
Apps,ESPN,TRUE,
Apps,Strava,TRUE,
Apps,Instacart,TRUE,
Apps,Target,TRUE,
Apps,Walmart,TRUE,
States,Alabama,FALSE,
States,Alaska,FALSE,
States,Arizona,FALSE,
States,Arkansas,FALSE,
States,California,FALSE,
States,Colorado,FALSE,
States,Connecticut,FALSE,
States,Delaware,FALSE,
States,Florida,FALSE,
States,Georgia,FALSE,
States,Hawaii,FALSE,
States,Idaho,FALSE,
States,Illinois,FALSE,
States,Indiana,FALSE,
States,Iowa,FALSE,
States,Kansas,FALSE,
States,Kentucky,FALSE,
States,Louisiana,FALSE,
States,Maine,FALSE,
States,Maryland,FALSE,
States,Massachusetts,FALSE,
States,Michigan,FALSE,
States,Minnesota,FALSE,
States,Mississippi,FALSE,
States,Missouri,FALSE,
States,Montana,FALSE,
States,Nebraska,FALSE,
States,Nevada,FALSE,
States,New Hampshire,FALSE,
States,New Jersey,FALSE,
States,New Mexico,FALSE,
States,New York,FALSE,
States,North Carolina,FALSE,
States,North Dakota,FALSE,
States,Ohio,FALSE,
States,Oklahoma,FALSE,
States,Oregon,FALSE,
States,Pennsylvania,FALSE,
States,Rhode Island,FALSE,
States,South Carolina,FALSE,
States,South Dakota,FALSE,
States,Tennessee,FALSE,
States,Texas,FALSE,
States,Utah,FALSE,
States,Vermont,FALSE,
States,Virginia,FALSE,
States,Washington,FALSE,
States,West Virginia,FALSE,
States,Wisconsin,FALSE,
States,Wyoming,FALSE,
Sports,Football,FALSE,
Sports,Basketball,FALSE,
Sports,Baseball,FALSE,
Sports,Hockey,FALSE,
Sports,Soccer,FALSE,
Sports,Tennis,FALSE,
Sports,Golf,FALSE,
Sports,Swimming,FALSE,
Sports,Track and Field,FALSE,
Sports,Volleyball,FALSE,
Sports,Softball,FALSE,
Sports,Wrestling,FALSE,
Sports,Boxing,FALSE,
Sports,MMA,FALSE,
Sports,Rugby,FALSE,
Sports,Cricket,FALSE,
Sports,Table Tennis,FALSE,
Sports,Badminton,FALSE,
Sports,Skiing,FALSE,
Sports,Snowboarding,FALSE,
Sports,Skateboarding,FALSE,
Sports,Surfing,FALSE,
Sports,Rowing,FALSE,
Sports,Cycling,FALSE,
Sports,Fencing,FALSE,
Sports,Lacrosse,FALSE,
Sports,Field Hockey,FALSE,
Sports,Handball,FALSE,
Sports,Water Polo,FALSE,
